country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
BE,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0008016984568485,0.5796531345880348,0.0093782189296961,0.776982986283752,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0008016984568485,-0.0008016984568485,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,162.53526561545712,,
BE,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,0.0001690158680792,0.5297817469822717,0.0012629449930722,0.9173820345539448,11,OLS,NOT_SIGNIFICANT,p_value_high,0.0001690158680792,0.0001690158680792,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,162.53526561545712,,
CZ,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0015312839114932,0.7429443647358506,0.1789860472596457,0.1948160990697347,11,OLS,ROBUST,ok,-0.0015312839114932,-0.0015312839114932,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,189.80555862708812,,
CZ,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0013738397293223,0.7312258104816658,0.0929071409932601,0.362083038509202,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0013738397293223,-0.0013738397293223,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,189.80555862708812,,
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-1.836592435856428e-05,0.6092739834236232,0.0031293126870067,0.8702337341434664,11,OLS,NOT_SIGNIFICANT,p_value_high,-1.836592435856428e-05,-1.836592435856428e-05,0,0.0,,0.0506631477461815,224.16803894853663,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,3.1584531664497957e-06,0.6055836033821312,0.0019741575000699,0.8967920820303841,11,OLS,NOT_SIGNIFICANT,p_value_high,3.1584531664497957e-06,3.1584531664497957e-06,0,0.0,,0.0506631477461815,224.16803894853663,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,2.7140721729386336e-05,0.5817995374111843,0.6753011920510115,0.0019150744760667,11,OLS,ROBUST,ok,2.7140721729386336e-05,2.7140721729386336e-05,0,0.0,,0.0940620781407101,174.87976586346065,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,1.4095825643207164e-05,0.6060661536457497,0.0426259845169239,0.5424683643680629,11,OLS,NOT_SIGNIFICANT,p_value_high,1.4095825643207164e-05,1.4095825643207164e-05,0,0.0,,0.0940620781407101,174.87976586346065,,
FR,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0015193780938218,0.7368655148848928,0.5454711719408607,0.0094317053672508,11,OLS,ROBUST,ok,-0.0015193780938218,-0.0015193780938218,0,0.0,,0.1019887444306739,190.76392747085825,,
FR,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0006506616474957,0.7515923349603327,0.6243433975873784,0.0038028838385741,11,OLS,ROBUST,ok,-0.0006506616474957,-0.0006506616474957,0,0.0,,0.1019887444306739,190.76392747085825,,
IT_NORD,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0003295155579362,0.7921086932849242,0.1237216247400545,0.2887893570771742,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0003295155579362,-0.0003295155579362,0,0.0,,0.0813407447000362,159.61625223736738,,
IT_NORD,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0004703044967376,0.7971871132846761,0.0883082697282247,0.3748399476993502,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0004703044967376,-0.0004703044967376,0,0.0,,0.0813407447000362,159.61625223736738,,
NL,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-3.2134457644757804e-05,0.626109455562529,0.0279962685995631,0.6229013669151969,11,OLS,NOT_SIGNIFICANT,p_value_high,-3.2134457644757804e-05,-3.2134457644757804e-05,0,0.0,,0.0037138793718154,165.27409048850748,,
NL,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,1.2355876063165405e-07,0.6240708120380124,3.403877208834567e-05,0.986417123742644,11,OLS,NOT_SIGNIFICANT,p_value_high,1.2355876063165405e-07,1.2355876063165405e-07,0,0.0,,0.0037138793718154,165.27409048850748,,
